the_geom,SHAPE_AREA,SHAPE_LEN,Sub_Base,Soil,Source
"MULTIPOLYGON (((144.96953510646279 -37.78562165506979, 144.9684485776008 -37.79192793803688, 144.96839120754444 -37.792260884409636, 144.9757188335785 -37.79305337038984, 144.9731944935446 -37.807922663916386, 144.97637596561836 -37.80826607304146, 144.98739828477576 -37.80943411530702, 144.98743328575242 -37.810113024825924, 144.98813483411175 -37.810840326067364, 144.98866197449473 -37.81135005038434, 144.98928118353203 -37.81178981328815, 144.9892617856247 -37.812504794899915, 144.98923850723034 -37.81336277270796, 144.98967748794786 -37.81379945579977, 144.9901222911323 -37.814021642848125, 144.9905800353873 -37.814014330912016, 144.9899751644539 -37.81752522906728, 144.98995500210174 -37.81761437669282, 144.98988892138766 -37.81788746985041, 144.98987076838154 -37.81797036873706, 144.98975744641623 -37.81861093750924, 144.9896888631125 -37.81904591846206, 144.98963287311 -37.81937936045527, 144.98946842609138 -37.82035868620354, 144.9893977243795 -37.82078797983642, 144.98854296529908 -37.82121921682014, 144.9874013521718 -37.82156948815344, 144.9864029015437 -37.82155241702419, 144.98562136893597 -37.82090514076989, 144.98523491526936 -37.82042309751962, 144.98337404707289 -37.82028558902758, 144.9806158592424 -37.81886484946104, 144.9790587272203 -37.817359015483206, 144.97857378606346 -37.815607444787965, 144.97705160869367 -37.815264349092516, 144.97512144808388 -37.81523117233784, 144.97081552696974 -37.81684746428847, 144.96625332927206 -37.818089391024685, 144.9626796584495 -37.81891005449181, 144.96262627624836 -37.818922312295065, 144.96282601563996 -37.81839663021541, 144.9634248456171 -37.817605843024666, 144.96344685431276 -37.81680507710052, 144.9635598248628 -37.815319187056026, 144.96245813013581 -37.81341171050539, 144.96158221658635 -37.81116478379002, 144.96046174362456 -37.809943661128905, 144.95936177825473 -37.80797896104369, 144.9589028074751 -37.80631148708579, 144.95675901014448 -37.80558761097915, 144.95495176201624 -37.80542556133263, 144.95504305679407 -37.80504280122597, 144.95538347241478 -37.80316029407123, 144.95495568156628 -37.80298119127683, 144.95350288626537 -37.803356526106356, 144.9511081937103 -37.80388713264884, 144.94973852445912 -37.80386329357459, 144.94866512117292 -37.80355847616523, 144.94843236647586 -37.80342736732863, 144.9479734800454 -37.799884041793014, 144.9464018938352 -37.7993416233178, 144.94612148272688 -37.79905060926751, 144.9460668282101 -37.79842018369016, 144.9469476537327 -37.797863295307536, 144.9473318134388 -37.797011620251205, 144.9473523962792 -37.79626805676784, 144.94745455680206 -37.795182566234814, 144.94826008906395 -37.79473880451875, 144.94883197411394 -37.79492044093996, 144.9488145713061 -37.7955496107759, 144.94855719185873 -37.797032972467754, 144.9491901030964 -37.79761624393537, 144.95042181682516 -37.79740878794118, 144.95094851555893 -37.796616805989814, 144.9501872483389 -37.795459061558105, 144.94899669709937 -37.79417938715951, 144.9453619070519 -37.792628184179, 144.94392988813493 -37.79225984332379, 144.94259376007417 -37.79103478856473, 144.9422762300451 -37.789484171523156, 144.94302234453883 -37.78858160825671, 144.9435324899647 -37.78791422372359, 144.94361478296815 -37.788019705761954, 144.9445968494405 -37.789009671088756, 144.94538490122156 -37.78919509619921, 144.94580942119438 -37.78948862559528, 144.94535162825446 -37.79039623712127, 144.9455504242069 -37.79102917819348, 144.94819980231674 -37.79170483848129, 144.94927619717274 -37.79189526105824, 144.9509039243888 -37.79301086548962, 144.95227181498157 -37.79309188264474, 144.95431522887262 -37.792211796856144, 144.95577883508471 -37.79143606210295, 144.9562333570601 -37.7906428018038, 144.95649213143898 -37.789102219138236, 144.95739639434944 -37.78768728195275, 144.95921709024108 -37.78703214495084, 144.96058645689587 -37.787055864907686, 144.96116932116468 -37.786837056382396, 144.96147647031495 -37.78615567304495, 144.96212511072983 -37.78616689813821, 144.96413996592125 -37.786316193617466, 144.96524143330583 -37.78559130261325, 144.96552526434954 -37.78520584193059, 144.96953510646279 -37.78562165506979), (144.9674093593769 -37.8071224348214, 144.96843393329402 -37.80592408669159, 144.96887417074512 -37.804214933689664, 144.96848095800337 -37.804208150812634, 144.9675798459679 -37.804192601773146, 144.96663559061818 -37.80574998533775, 144.96622806029168 -37.807459693768024, 144.9674093593769 -37.8071224348214)))",3087230.50876,15418.4767314,Silurian,Duplex - ClaySilt then Clay,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.9863984199981 -37.83893148959228, 144.98619544306496 -37.83898131682287, 144.98453384387307 -37.838847230319814, 144.98328179071123 -37.838350358465284, 144.98136253737087 -37.83789486023251, 144.9802422372334 -37.837453040971, 144.97965600711777 -37.8369675523475, 144.98086447088053 -37.83661850670984, 144.98252888844206 -37.83664704172432, 144.98406446719247 -37.83651487042895, 144.9855392104765 -37.836170335861496, 144.98673758708455 -37.83619083566945, 144.9869597532744 -37.836177044781294, 144.98674554010177 -37.837224406586756, 144.9865366322186 -37.838231741188274, 144.98650240088128 -37.83842318400933, 144.9863984199981 -37.83893148959228)))",3087230.50876,15418.4767314,Silurian,Duplex - ClaySilt then Clay,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.9879075036348 -37.82971343470138, 144.98782059292833 -37.83019876518753, 144.98779385965656 -37.830535890234, 144.98787205654224 -37.83077999602881, 144.9879218602433 -37.83093378381664, 144.98796103719607 -37.83111274002224, 144.98697783545128 -37.829803048240855, 144.98493281780378 -37.82908133156224, 144.98326569236318 -37.82915843724715, 144.98204441489997 -37.82998271996634, 144.98142944883588 -37.83055325890007, 144.98010666506065 -37.83021361838126, 144.97906314251952 -37.82940332717641, 144.97896169884106 -37.828239423653656, 144.97872712153594 -37.827073234322434, 144.97800640443796 -37.82663825440296, 144.9763566410731 -37.82608165428679, 144.97564027676222 -37.82548825823305, 144.97559824044507 -37.824589501022885, 144.97466776555584 -37.82452067305385, 144.97300362845917 -37.82449203469307, 144.97174177715485 -37.82436465257839, 144.97008777434027 -37.8239663689725, 144.96958130449255 -37.82300677655549, 144.97050160077453 -37.821015273124864, 144.9723812393231 -37.8204665761572, 144.9742406400623 -37.82065705873165, 144.97587007135346 -37.82195289606635, 144.97775861115193 -37.8235172897823, 144.977800673707 -37.82441604710674, 144.97871530362906 -37.82506565969281, 144.9793057576346 -37.82539274847359, 144.9797443628725 -37.82640396139132, 144.98038700357344 -37.82726019610813, 144.981446340119 -37.82748966538862, 144.9827154558372 -37.82735294061477, 144.98371110778646 -37.82747564718932, 144.98530157344845 -37.82776700224524, 144.9860223461117 -37.82820193894584, 144.98706449629307 -37.82906497136872, 144.987649281843 -37.82960322439884, 144.9879075036348 -37.82971343470138)))",3087230.50876,15418.4767314,Silurian,Duplex - ClaySilt then Clay,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.96971823984242 -37.82879366160549, 144.96969416441894 -37.828608225848136, 144.96926726706585 -37.82717457526207, 144.9695483746597 -37.82589188436303, 144.97056098637134 -37.82614037268762, 144.97127876074524 -37.82668099802192, 144.97139454305076 -37.82731689909508, 144.9707708413363 -37.828204184266184, 144.96971823984242 -37.82879366160549)))",3087230.50876,15418.4767314,Silurian,Duplex - ClaySilt then Clay,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.9610558072291 -37.81928291596927, 144.9607325340564 -37.81935714135872, 144.96049197198877 -37.81932904411476, 144.95902469675306 -37.82021921428998, 144.95654318516006 -37.82126344129909, 144.95467161371334 -37.821116494810454, 144.95367478513117 -37.82064137704631, 144.95404952202043 -37.820132867532806, 144.95553579143163 -37.81855639383684, 144.95685571532184 -37.817778159650125, 144.95786513904818 -37.81779567129263, 144.95872878436387 -37.81786787178467, 144.95944192706378 -37.81816635662213, 144.9600766743091 -37.818692377860714, 144.96063932732054 -37.81921714704963, 144.9610558072291 -37.81928291596927)))",3087230.50876,15418.4767314,Silurian,Duplex - ClaySilt then Clay,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.9491495209748 -37.776712791943226, 144.94859208825446 -37.77751989671698, 144.94783824801442 -37.778708489002895, 144.94773612691904 -37.77979398353917, 144.94713745723053 -37.78058469969327, 144.94733782855 -37.78116044107585, 144.947329916409 -37.78144642777544, 144.94660609136415 -37.78154826068085, 144.94574129976675 -37.78153318074332, 144.945104706474 -37.781385170856716, 144.94531840813696 -37.78118245479483, 144.94527705191786 -37.78114433143786, 144.94568665452198 -37.780902753700964, 144.94591235148638 -37.78056334056144, 144.9466567451661 -37.7797179464013, 144.9479324565789 -37.777908981083186, 144.94816447037852 -37.776593180157086, 144.9491495209748 -37.776712791943226)))",3087230.50876,15418.4767314,Silurian,Duplex - ClaySilt then Clay,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.9639480540008 -37.78276524623612, 144.96293063676933 -37.783090681656276, 144.96199060773301 -37.7831888696991, 144.9612777840825 -37.782890408052936, 144.9607906019931 -37.782252498851314, 144.96080946702017 -37.78156612506502, 144.96067948307612 -37.78104884920371, 144.9606168499673 -37.7807044144925, 144.9611401716379 -37.78002677393847, 144.96115431691078 -37.77951199330007, 144.9607423647104 -37.77876093592994, 144.95823586879388 -37.778145262802475, 144.95774829361335 -37.777740981905154, 144.9602193320707 -37.77804236252409, 144.96089129657088 -37.778124309760074, 144.96123103705912 -37.77821474795991, 144.96130709792376 -37.77823504593756, 144.96138221872806 -37.778257441089316, 144.9614563075469 -37.77828190625503, 144.96152927409562 -37.77830841137437, 144.96160102914092 -37.778336924265034, 144.96167148494797 -37.77836740984199, 144.96174055567815 -37.77839983113819, 144.96180815670456 -37.77843414839148, 144.96187420558954 -37.77847031962486, 144.96193862165265 -37.77850830086407, 144.96200132627322 -37.77854804546717, 144.96206224258185 -37.77858950502015, 144.9621212964625 -37.77863262901651, 144.96217841571075 -37.77867736450456, 144.9622335302927 -37.778723656993144, 144.9622865732149 -37.77877144979078, 144.96233747950927 -37.778820684776655, 144.96238618710638 -37.77887130162707, 144.96243263624908 -37.778923238481326, 144.9624767704827 -37.77897643207131, 144.96251853567426 -37.77903081725406, 144.9625578809902 -37.779086327591855, 144.9625947581869 -37.77914289533985, 144.96262912246192 -37.77920045146092, 144.9626609314644 -37.77925892549585, 144.96269014655587 -37.779318246148236, 144.96271673211058 -37.77937834093459, 144.96274065537057 -37.779439136294386, 144.96276188742308 -37.77950055817023, 144.9627804022264 -37.779562531315115, 144.9627961770074 -37.77962498031303, 144.9628091925732 -37.7796878285707, 144.9628194331354 -37.77975099955342, 144.96282688605112 -37.77981441587962, 144.96283264395038 -37.77992960780585, 144.9628334871627 -37.78004488831632, 144.96282941474252 -37.78016012559681, 144.9628204312924 -37.78027518736534, 144.962806547216 -37.78038994200283, 144.96277903616428 -37.78067652058797, 144.9627741860605 -37.7807360568701, 144.96277192079043 -37.78079569035373, 144.96277224286615 -37.780855350452576, 144.96277515196866 -37.78091496630583, 144.96278064464568 -37.780974467449, 144.96278871446884 -37.78103378325322, 144.9627993517376 -37.78109284337089, 144.96281254403738 -37.78115157808308, 144.9628282755519 -37.781209917499304, 144.96284652774452 -37.781267792583044, 144.9628672790838 -37.78132513480901, 144.9628905047599 -37.78138187615836, 144.9629161773874 -37.78143794935608, 144.96294426657366 -37.78149328808883, 144.96297473906998 -37.78154782666967, 144.96300755861722 -37.78160150048591, 144.96304268637454 -37.781654245893996, 144.96308008076815 -37.7817060005547, 144.9631196975068 -37.78175670287035, 144.96316148955404 -37.781806292998006, 144.96320540757827 -37.78185471195621, 144.9632513993609 -37.78190190251588, 144.9632994103757 -37.781947808759746, 144.96334938378612 -37.781992376195, 144.9634012604358 -37.78203555209106, 144.96345497885474 -37.782077285254445, 144.96351047525633 -37.78211752614132, 144.96356768409845 -37.782156227092536, 144.9636265373712 -37.782193342434006, 144.96368696532167 -37.78222882792593, 144.96374889642908 -37.78226264166367, 144.96381225742053 -37.782294743514726, 144.96387697297757 -37.78232509545163, 144.96394296644607 -37.78235366156425, 144.964010159842 -37.78238040783455, 144.9639480540008 -37.78276524623612)))",3087230.50876,15418.4767314,Silurian,Duplex - ClaySilt then Clay,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.96971823984242 -37.82879366160549, 144.9707708413363 -37.828204184266184, 144.97139454305076 -37.82731689909508, 144.97127876074524 -37.82668099802192, 144.97056098637134 -37.82614037268762, 144.9695483746597 -37.82589188436303, 144.96964786522793 -37.825437897967646, 144.96982440898452 -37.82385617698527, 144.9699467308325 -37.823699140900345, 144.97008777434027 -37.8239663689725, 144.97174177715485 -37.82436465257839, 144.97300362845917 -37.82449203469307, 144.97466776555584 -37.82452067305385, 144.97559824044507 -37.824589501022885, 144.97564027676222 -37.82548825823305, 144.9763566410731 -37.82608165428679, 144.97800640443796 -37.82663825440296, 144.97872712153594 -37.827073234322434, 144.97896169884106 -37.828239423653656, 144.97906314251952 -37.82940332717641, 144.98010666506065 -37.83021361838126, 144.98142944883588 -37.83055325890007, 144.98204441489997 -37.82998271996634, 144.98326569236318 -37.82915843724715, 144.98493281780378 -37.82908133156224, 144.98697783545128 -37.829803048240855, 144.98796103719607 -37.83111274002224, 144.98796893346113 -37.83114880923566, 144.98792999098933 -37.83137323293137, 144.98729726278142 -37.8346473084518, 144.9872259467915 -37.8349130194522, 144.9869919243029 -37.836019746669635, 144.9869597532744 -37.836177044781294, 144.98673758708455 -37.83619083566945, 144.9855392104765 -37.836170335861496, 144.98406446719247 -37.83651487042895, 144.98252888844206 -37.83664704172432, 144.98086447088053 -37.83661850670984, 144.97965600711777 -37.8369675523475, 144.9802422372334 -37.837453040971, 144.98136253737087 -37.83789486023251, 144.98328179071123 -37.838350358465284, 144.98453384387307 -37.838847230319814, 144.98619544306496 -37.83898131682287, 144.9863984199981 -37.83893148959228, 144.9852304449311 -37.84464053676892, 144.98502208625717 -37.8456782433761, 144.98419944836914 -37.850660202621796, 144.9806379494241 -37.850205099659235, 144.9798120890204 -37.847941015571195, 144.97868451561575 -37.84484861306816, 144.97654930820482 -37.83899223578423, 144.97580411554014 -37.836949367179905, 144.97551140155147 -37.836146890636456, 144.97548932605045 -37.83608991724397, 144.9754648869002 -37.8360335541855, 144.97543811054996 -37.83597786285648, 144.9754090265814 -37.835922904368104, 144.97537766673287 -37.8358687388547, 144.9753440653257 -37.83581542548113, 144.97530825911588 -37.8357630226655, 144.97517408133956 -37.835566372592, 144.97506177994705 -37.83539667936108, 144.97495678925736 -37.83522406715918, 144.97485923008378 -37.835048733976336, 144.974830735011 -37.83499733418978, 144.97480023455415 -37.83494666341897, 144.97476775847383 -37.834896770950465, 144.9747333382587 -37.83484770519927, 144.97469700712216 -37.83479951382149, 144.97465880057356 -37.8347522436115, 144.9746187555692 -37.83470594037467, 144.97447096578813 -37.83454643763196, 144.97431644273007 -37.83439100075186, 144.97415536389255 -37.83423980849169, 144.9739879145757 -37.83409303456116, 144.9738142873112 -37.83395084772523, 144.97363468186538 -37.833813411691736, 144.97344930483777 -37.83368088420345, 144.97325836935593 -37.833553417821484, 144.97306209495474 -37.83343115913486, 144.9728607072988 -37.83331424853063, 144.97279650913464 -37.83327693593184, 144.97273399840003 -37.83323786273565, 144.97267325161613 -37.83319707689826, 144.97261434339646 -37.833154628595985, 144.97255734617508 -37.83311056977008, 144.97250232962668 -37.83306495456719, 144.9724493613884 -37.83301783890133, 144.97239850648612 -37.832969280669076, 144.97234982734042 -37.8329193395246, 144.97225195824728 -37.832815213195644, 144.97208759688198 -37.83264034273179, 144.97203377961728 -37.83258093882262, 144.97198262560462 -37.83252007276372, 144.97193419783585 -37.83245781953993, 144.9718885559784 -37.83239425621902, 144.97179040146435 -37.83225178367159, 144.97173540514783 -37.83216856672903, 144.9716840693179 -37.8320838916434, 144.97163645496653 -37.83199785950053, 144.97159261934442 -37.8319105731239, 144.9715526146835 -37.831822137052576, 144.9715164889253 -37.83173265687788, 144.9714842850017 -37.83164223956888, 144.97145604169347 -37.8315509932619, 144.9714317924971 -37.83145902712833, 144.97141156648968 -37.83136645093889, 144.97139538788701 -37.831273375619254, 144.97138327607192 -37.83117991223678, 144.97132835641224 -37.83053869127591, 144.9713014367824 -37.82989634716912, 144.9710208890238 -37.82997805262032, 144.96991798515197 -37.83029924881891, 144.96980414614293 -37.829455330046706, 144.96971823984242 -37.82879366160549)))",3087230.50876,15418.4767314,Tertiary Sediments,Sandy Loam,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.94866512117292 -37.80355847616523, 144.94973852445912 -37.80386329357459, 144.9511081937103 -37.80388713264884, 144.95350288626537 -37.803356526106356, 144.95495568156628 -37.80298119127683, 144.95538347241478 -37.80316029407123, 144.95504305679407 -37.80504280122597, 144.9549343144525 -37.805498711028086, 144.9548862546956 -37.8054978763695, 144.95420114191822 -37.80680214549275, 144.95437321710978 -37.80840742810304, 144.9557866722918 -37.80946201997768, 144.9572832972946 -37.810117464675315, 144.95871258042888 -37.81060004886776, 144.95933623581956 -37.8115264549951, 144.95996305534376 -37.812338463153324, 144.95993313992227 -37.81342521534625, 144.96004269659412 -37.814686058009244, 144.95981537726428 -37.81508269271965, 144.95845179682178 -37.814830159302375, 144.9567561202593 -37.813541802807976, 144.95492735864286 -37.81185053788063, 144.95345441247167 -37.81033710391699, 144.9515989321972 -37.80961814408479, 144.95011027997714 -37.80867664295125, 144.94893852025442 -37.80671059858379, 144.9475719680958 -37.80657233857556, 144.9460406381468 -37.807175109673096, 144.9447493468643 -37.806923680218745, 144.94360224548768 -37.80667475481317, 144.94304298236975 -37.80603551551651, 144.94271269456797 -37.8049424768155, 144.94209724147433 -37.803730004631646, 144.9422795180623 -37.802359797392825, 144.9443827015369 -37.80193873184856, 144.94646368302764 -37.80231838752392, 144.94866512117292 -37.80355847616523)))",3087230.50876,15418.4767314,Tertiary Sediments,Sandy Loam,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.94816447037852 -37.776593180157086, 144.9479324565789 -37.777908981083186, 144.9466567451661 -37.7797179464013, 144.94591235148638 -37.78056334056144, 144.94568665452198 -37.780902753700964, 144.94527705191786 -37.78114433143786, 144.9446856626104 -37.78059916595437, 144.9442643660016 -37.78019123922239, 144.94351921418962 -37.77846148421225, 144.94328010889194 -37.77668333694316, 144.9426188231566 -37.775919434755714, 144.94293666974292 -37.775958338463745, 144.9433879420961 -37.77601305872712, 144.94816447037852 -37.776593180157086)))",3087230.50876,15418.4767314,Tertiary Sediments,Sandy Loam,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.96552526434954 -37.78520584193059, 144.96524143330583 -37.78559130261325, 144.96413996592125 -37.786316193617466, 144.96212511072983 -37.78616689813821, 144.96147647031495 -37.78615567304495, 144.96116932116468 -37.786837056382396, 144.96058645689587 -37.787055864907686, 144.95921709024108 -37.78703214495084, 144.95739639434944 -37.78768728195275, 144.95649213143898 -37.789102219138236, 144.9562333570601 -37.7906428018038, 144.95577883508471 -37.79143606210295, 144.95431522887262 -37.792211796856144, 144.95227181498157 -37.79309188264474, 144.9509039243888 -37.79301086548962, 144.94927619717274 -37.79189526105824, 144.94819980231674 -37.79170483848129, 144.9455504242069 -37.79102917819348, 144.94535162825446 -37.79039623712127, 144.94580942119438 -37.78948862559528, 144.94538490122156 -37.78919509619921, 144.9445968494405 -37.789009671088756, 144.94361478296815 -37.788019705761954, 144.94270957257174 -37.786859400453935, 144.94274764268943 -37.78548666940211, 144.94401721273385 -37.783906542556316, 144.94434035238152 -37.78265323571476, 144.9453698823944 -37.78192727642285, 144.94687852733819 -37.782125259103935, 144.94802368321677 -37.7824313401914, 144.94805532153873 -37.78128739299497, 144.9478660181369 -37.78031127110757, 144.94833478359436 -37.77900326387026, 144.94907597207515 -37.77827224779139, 144.9488950882792 -37.77708118671579, 144.9491495209748 -37.776712791943226, 144.94946196484918 -37.77675072928787, 144.95559647564718 -37.77747849105894, 144.95774829361335 -37.777740981905154, 144.95823586879388 -37.778145262802475, 144.9607423647104 -37.77876093592994, 144.96115431691078 -37.77951199330007, 144.9611401716379 -37.78002677393847, 144.9606168499673 -37.7807044144925, 144.96067948307612 -37.78104884920371, 144.96080946702017 -37.78156612506502, 144.9607906019931 -37.782252498851314, 144.9612777840825 -37.782890408052936, 144.96199060773301 -37.7831888696991, 144.96293063676933 -37.783090681656276, 144.9639480540008 -37.78276524623612, 144.9635866231635 -37.785004758039044, 144.96552526434954 -37.78520584193059)))",3087230.50876,15418.4767314,Tertiary Sediments,Sandy Loam,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.94519791317904 -37.79594436072759, 144.94352897298214 -37.79631580224283, 144.9423099588825 -37.79606561001286, 144.94125099211251 -37.79524595581842, 144.94077979216155 -37.794035997876705, 144.9414507205173 -37.793246580788285, 144.94225626524633 -37.79280286045119, 144.94319643561582 -37.79270483443322, 144.94526922954194 -37.79337048966905, 144.94557565325664 -37.793561354603476, 144.94589574710696 -37.79418256614962, 144.94615713059807 -37.79515994640097, 144.94519791317904 -37.79594436072759)))",3087230.50876,15418.4767314,Tertiary Sediments,Sandy Loam,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.9501445587743 -37.79700338855638, 144.9495679096012 -37.79699334981686, 144.94936273848697 -37.79658920372968, 144.94945063578325 -37.796018486144476, 144.95000646554877 -37.795864034640346, 144.95031401724958 -37.79609074103261, 144.9503029503304 -37.79649112213792, 144.9501445587743 -37.79700338855638)))",3087230.50876,15418.4767314,Tertiary Sediments,Sandy Loam,Digitized from 1956 Geological Survey of Victoria Map
"MULTIPOLYGON (((144.9674093593769 -37.8071224348214, 144.96622806029168 -37.807459693768024, 144.96663559061818 -37.80574998533775, 144.9675798459679 -37.804192601773146, 144.96848095800337 -37.804208150812634, 144.96887417074512 -37.804214933689664, 144.96843393329402 -37.80592408669159, 144.9674093593769 -37.8071224348214)))",3087230.50876,15418.4767314,Tertiary Sediments,Sandy Loam,Digitized from 1956 Geological Survey of Victoria Map
